IncidntNum,Category,Date
374,VEHICLE THEFT,05/01/2007 12:00:00 AM
20,ARSON,06/01/2007 12:00:00 AM
444,BURGLARY,06/01/2007 12:00:00 AM
2181,LARCENY/THEFT,06/01/2007 12:00:00 AM
50,STOLEN PROPERTY,06/01/2007 12:00:00 AM
633,VANDALISM,06/01/2007 12:00:00 AM
486,VEHICLE THEFT,06/01/2007 12:00:00 AM
29,ARSON,07/01/2007 12:00:00 AM
506,BURGLARY,07/01/2007 12:00:00 AM
2526,LARCENY/THEFT,07/01/2007 12:00:00 AM
36,STOLEN PROPERTY,07/01/2007 12:00:00 AM
734,VANDALISM,07/01/2007 12:00:00 AM
633,VEHICLE THEFT,07/01/2007 12:00:00 AM
16,ARSON,08/01/2007 12:00:00 AM
473,BURGLARY,08/01/2007 12:00:00 AM
2459,LARCENY/THEFT,08/01/2007 12:00:00 AM
30,STOLEN PROPERTY,08/01/2007 12:00:00 AM
598,VANDALISM,08/01/2007 12:00:00 AM
707,VEHICLE THEFT,08/01/2007 12:00:00 AM
27,ARSON,09/01/2007 12:00:00 AM
384,BURGLARY,09/01/2007 12:00:00 AM
2376,LARCENY/THEFT,09/01/2007 12:00:00 AM
50,STOLEN PROPERTY,09/01/2007 12:00:00 AM
625,VANDALISM,09/01/2007 12:00:00 AM
690,VEHICLE THEFT,09/01/2007 12:00:00 AM
18,ARSON,10/01/2007 12:00:00 AM
453,BURGLARY,10/01/2007 12:00:00 AM
2282,LARCENY/THEFT,10/01/2007 12:00:00 AM
54,STOLEN PROPERTY,10/01/2007 12:00:00 AM
679,VANDALISM,10/01/2007 12:00:00 AM
616,VEHICLE THEFT,10/01/2007 12:00:00 AM
23,ARSON,11/01/2007 12:00:00 AM
480,BURGLARY,11/01/2007 12:00:00 AM
2017,LARCENY/THEFT,11/01/2007 12:00:00 AM
39,STOLEN PROPERTY,11/01/2007 12:00:00 AM
589,VANDALISM,11/01/2007 12:00:00 AM
541,VEHICLE THEFT,11/01/2007 12:00:00 AM
11,ARSON,12/01/2007 12:00:00 AM
487,BURGLARY,12/01/2007 12:00:00 AM
2020,LARCENY/THEFT,12/01/2007 12:00:00 AM
35,STOLEN PROPERTY,12/01/2007 12:00:00 AM
530,VANDALISM,12/01/2007 12:00:00 AM
493,VEHICLE THEFT,12/01/2007 12:00:00 AM
16,ARSON,01/01/2008 12:00:00 AM
433,BURGLARY,01/01/2008 12:00:00 AM
2143,LARCENY/THEFT,01/01/2008 12:00:00 AM
32,STOLEN PROPERTY,01/01/2008 12:00:00 AM
629,VANDALISM,01/01/2008 12:00:00 AM
518,VEHICLE THEFT,01/01/2008 12:00:00 AM
12,ARSON,02/01/2008 12:00:00 AM
381,BURGLARY,02/01/2008 12:00:00 AM
1875,LARCENY/THEFT,02/01/2008 12:00:00 AM
34,STOLEN PROPERTY,02/01/2008 12:00:00 AM
536,VANDALISM,02/01/2008 12:00:00 AM
475,VEHICLE THEFT,02/01/2008 12:00:00 AM
34,ARSON,03/01/2008 12:00:00 AM
468,BURGLARY,03/01/2008 12:00:00 AM
2207,LARCENY/THEFT,03/01/2008 12:00:00 AM
32,STOLEN PROPERTY,03/01/2008 12:00:00 AM
639,VANDALISM,03/01/2008 12:00:00 AM
525,VEHICLE THEFT,03/01/2008 12:00:00 AM
20,ARSON,04/01/2008 12:00:00 AM
437,BURGLARY,04/01/2008 12:00:00 AM
2325,LARCENY/THEFT,04/01/2008 12:00:00 AM
31,STOLEN PROPERTY,04/01/2008 12:00:00 AM
654,VANDALISM,04/01/2008 12:00:00 AM
536,VEHICLE THEFT,04/01/2008 12:00:00 AM
17,ARSON,05/01/2008 12:00:00 AM
453,BURGLARY,05/01/2008 12:00:00 AM
2145,LARCENY/THEFT,05/01/2008 12:00:00 AM
38,STOLEN PROPERTY,05/01/2008 12:00:00 AM
619,VANDALISM,05/01/2008 12:00:00 AM
510,VEHICLE THEFT,05/01/2008 12:00:00 AM
20,ARSON,06/01/2008 12:00:00 AM
435,BURGLARY,06/01/2008 12:00:00 AM
1960,LARCENY/THEFT,06/01/2008 12:00:00 AM
36,STOLEN PROPERTY,06/01/2008 12:00:00 AM
559,VANDALISM,06/01/2008 12:00:00 AM
426,VEHICLE THEFT,06/01/2008 12:00:00 AM
21,ARSON,07/01/2008 12:00:00 AM
499,BURGLARY,07/01/2008 12:00:00 AM
2188,LARCENY/THEFT,07/01/2008 12:00:00 AM
40,STOLEN PROPERTY,07/01/2008 12:00:00 AM
598,VANDALISM,07/01/2008 12:00:00 AM
460,VEHICLE THEFT,07/01/2008 12:00:00 AM
24,ARSON,08/01/2008 12:00:00 AM
471,BURGLARY,08/01/2008 12:00:00 AM
2172,LARCENY/THEFT,08/01/2008 12:00:00 AM
52,STOLEN PROPERTY,08/01/2008 12:00:00 AM
579,VANDALISM,08/01/2008 12:00:00 AM
509,VEHICLE THEFT,08/01/2008 12:00:00 AM
27,ARSON,09/01/2008 12:00:00 AM
541,BURGLARY,09/01/2008 12:00:00 AM
2211,LARCENY/THEFT,09/01/2008 12:00:00 AM
53,STOLEN PROPERTY,09/01/2008 12:00:00 AM
573,VANDALISM,09/01/2008 12:00:00 AM
579,VEHICLE THEFT,09/01/2008 12:00:00 AM
18,ARSON,10/01/2008 12:00:00 AM
492,BURGLARY,10/01/2008 12:00:00 AM
2408,LARCENY/THEFT,10/01/2008 12:00:00 AM
60,STOLEN PROPERTY,10/01/2008 12:00:00 AM
704,VANDALISM,10/01/2008 12:00:00 AM
575,VEHICLE THEFT,10/01/2008 12:00:00 AM
19,ARSON,11/01/2008 12:00:00 AM
520,BURGLARY,11/01/2008 12:00:00 AM
2057,LARCENY/THEFT,11/01/2008 12:00:00 AM
43,STOLEN PROPERTY,11/01/2008 12:00:00 AM
585,VANDALISM,11/01/2008 12:00:00 AM
443,VEHICLE THEFT,11/01/2008 12:00:00 AM
17,ARSON,12/01/2008 12:00:00 AM
520,BURGLARY,12/01/2008 12:00:00 AM
1945,LARCENY/THEFT,12/01/2008 12:00:00 AM
39,STOLEN PROPERTY,12/01/2008 12:00:00 AM
559,VANDALISM,12/01/2008 12:00:00 AM
486,VEHICLE THEFT,12/01/2008 12:00:00 AM
20,ARSON,01/01/2009 12:00:00 AM
439,BURGLARY,01/01/2009 12:00:00 AM
1919,LARCENY/THEFT,01/01/2009 12:00:00 AM
44,STOLEN PROPERTY,01/01/2009 12:00:00 AM
547,VANDALISM,01/01/2009 12:00:00 AM
545,VEHICLE THEFT,01/01/2009 12:00:00 AM
17,ARSON,02/01/2009 12:00:00 AM
386,BURGLARY,02/01/2009 12:00:00 AM
1836,LARCENY/THEFT,02/01/2009 12:00:00 AM
47,STOLEN PROPERTY,02/01/2009 12:00:00 AM
470,VANDALISM,02/01/2009 12:00:00 AM
400,VEHICLE THEFT,02/01/2009 12:00:00 AM
16,ARSON,03/01/2009 12:00:00 AM
499,BURGLARY,03/01/2009 12:00:00 AM
2181,LARCENY/THEFT,03/01/2009 12:00:00 AM
60,STOLEN PROPERTY,03/01/2009 12:00:00 AM
616,VANDALISM,03/01/2009 12:00:00 AM
458,VEHICLE THEFT,03/01/2009 12:00:00 AM
18,ARSON,04/01/2009 12:00:00 AM
488,BURGLARY,04/01/2009 12:00:00 AM
2035,LARCENY/THEFT,04/01/2009 12:00:00 AM
52,STOLEN PROPERTY,04/01/2009 12:00:00 AM
657,VANDALISM,04/01/2009 12:00:00 AM
395,VEHICLE THEFT,04/01/2009 12:00:00 AM
17,ARSON,05/01/2009 12:00:00 AM
441,BURGLARY,05/01/2009 12:00:00 AM
